epoch, f1, accuracy, precision, recall
250, 0.733980898233, 0.948946847098, 0.705242625408, 0.765160805976
500, 0.793362433954, 0.962653459821, 0.808392888463, 0.778880699772
750, 0.814254452826, 0.963906575521, 0.773562899308, 0.859464678106
1000, 0.816426234989, 0.96637390718, 0.820547835454, 0.812345833069
1250, 0.816757845641, 0.964936523438, 0.786919623258, 0.848948046328
1500, 0.83165864361, 0.969252162388, 0.838282211549, 0.825138925481
1750, 0.825470919538, 0.967227283296, 0.809591666914, 0.841985542505
2000, 0.826906334613, 0.966821544829, 0.795432958332, 0.860972972208
2250, 0.807852090198, 0.9640546875, 0.795201106007, 0.820912115029
2500, 0.824949125669, 0.96710000465, 0.808387741564, 0.84220328652
2750, 0.833069176385, 0.96695921689, 0.77863951712, 0.895680408369
3000, 0.831046473634, 0.968344238281, 0.816796369777, 0.845802630459
3250, 0.835769083677, 0.969516159784, 0.828977005028, 0.842673381198
3500, 0.825856546555, 0.967177408854, 0.807078639304, 0.845529061122
3750, 0.827851954641, 0.967693522135, 0.812389510937, 0.843914421045
4000, 0.827102699484, 0.967746070499, 0.816360549657, 0.83813132187
4250, 0.821103309398, 0.965483375186, 0.785104734496, 0.860561734091
4500, 0.804054583641, 0.966343773251, 0.866246181183, 0.750194820269
4750, 0.833043384696, 0.968034853981, 0.802193458451, 0.866360999874
5000, 0.838396475614, 0.969581473214, 0.820376972246, 0.857225350152
5250, 0.856442150979, 0.97328125, 0.847231240489, 0.865855540739
5500, 0.840170070779, 0.970739234561, 0.844879774277, 0.835512583811
5750, 0.826412490446, 0.965226213728, 0.764478067192, 0.899266869541
6000, 0.826341899897, 0.966390252976, 0.787892318432, 0.868736733592
6250, 0.828141893552, 0.968932291667, 0.843633492479, 0.813208978429
6500, 0.837175941087, 0.969929896763, 0.834538775805, 0.839829826232
6750, 0.842170467121, 0.970224167597, 0.822281117315, 0.86304583461
7000, 0.840212717036, 0.969250953311, 0.805301593257, 0.878287915687
7250, 0.838121689556, 0.970147856213, 0.836687500566, 0.839560803753
7500, 0.852017500563, 0.972296642485, 0.83808542252, 0.866420614245
7750, 0.846446568039, 0.971747860863, 0.846934200188, 0.845959497087
8000, 0.83253833316, 0.969147274926, 0.831894335081, 0.833183329094
8250, 0.832215635544, 0.96961937314, 0.846357171009, 0.818538907344
8500, 0.839791029723, 0.970053803943, 0.827289234684, 0.852676470536
8750, 0.815561901221, 0.964679199219, 0.785180525105, 0.848389035301
9000, 0.820703673462, 0.967502394903, 0.833787050451, 0.808024548996
9250, 0.848467273047, 0.97194624256, 0.843734770898, 0.853253163793
9500, 0.852885540836, 0.972801130022, 0.849268304412, 0.85653372241
9750, 0.844582524879, 0.971320196243, 0.842577796996, 0.846596815128
10000, 0.846535309906, 0.971744605655, 0.846435685047, 0.846634958221